Well,Transposon,Plasmid,Day,TetConc,Replicate,Sample Name,probe,cycle_at_threshold
A1,B59,no_plasmid,2,5,1,no_plasmid,Cm,17.925
A1,B59,no_plasmid,2,5,1,no_plasmid,Kan,NA
A1,B59,no_plasmid,2,5,1,no_plasmid,Tet,20.303
A2,B59,p15A_plasmid,2,5,1,A31_plasmid,Cm,34.834
A2,B59,p15A_plasmid,2,5,1,A31_plasmid,Kan,36.593
A2,B59,p15A_plasmid,2,5,1,A31_plasmid,Tet,NA
A3,B59,pUC_plasmid,2,5,1,A18_plasmid,Cm,36.844
A3,B59,pUC_plasmid,2,5,1,A18_plasmid,Kan,35.040
A3,B59,pUC_plasmid,2,5,1,A18_plasmid,Tet,NA
A6,B59,no_plasmid,0,0,1,no_plasmid_ancestor,Cm,24.289
A6,B59,no_plasmid,0,0,1,no_plasmid_ancestor,Kan,37.206
A6,B59,no_plasmid,0,0,1,no_plasmid_ancestor,Tet,24.850
A7,B59,p15A_plasmid,0,0,1,A31_plasmid_ancestor,Cm,22.775
A7,B59,p15A_plasmid,0,0,1,A31_plasmid_ancestor,Kan,21.841
A7,B59,p15A_plasmid,0,0,1,A31_plasmid_ancestor,Tet,23.572
A8,B59,pUC_plasmid,0,0,1,A18_plasmid_ancestor,Cm,23.615
A8,B59,pUC_plasmid,0,0,1,A18_plasmid_ancestor,Kan,18.725
A8,B59,pUC_plasmid,0,0,1,A18_plasmid_ancestor,Tet,24.344
A10,B59,no_plasmid,2,0,1,no_plasmid,Cm,22.818
A10,B59,no_plasmid,2,0,1,no_plasmid,Kan,39.055
A10,B59,no_plasmid,2,0,1,no_plasmid,Tet,23.544
A11,B59,p15A_plasmid,2,0,1,A31_plasmid,Cm,23.731
A11,B59,p15A_plasmid,2,0,1,A31_plasmid,Kan,22.480
A11,B59,p15A_plasmid,2,0,1,A31_plasmid,Tet,24.678
A12,B59,pUC_plasmid,2,0,1,A18_plasmid,Cm,23.669
A12,B59,pUC_plasmid,2,0,1,A18_plasmid,Kan,19.285
A12,B59,pUC_plasmid,2,0,1,A18_plasmid,Tet,24.545
B1,B59,no_plasmid,2,5,2,no_plasmid,Cm,23.758
B1,B59,no_plasmid,2,5,2,no_plasmid,Kan,37.762
B1,B59,no_plasmid,2,5,2,no_plasmid,Tet,24.908
B2,B59,p15A_plasmid,2,5,2,A31_plasmid,Cm,35.624
B2,B59,p15A_plasmid,2,5,2,A31_plasmid,Kan,36.341
B2,B59,p15A_plasmid,2,5,2,A31_plasmid,Tet,NA
