Well,Transposon,Plasmid,Day,TetConc,Replicate,Sample Name,probe,cycle_at_threshold
C3,B30,pUC_plasmid,1,5,3,A18_plasmid,Cm,24.753
C3,B30,pUC_plasmid,1,5,3,A18_plasmid,Kan,17.696
C3,B30,pUC_plasmid,1,5,3,A18_plasmid,Tet,20.669
C6,B30,no_plasmid,0,0,3,no_plasmid_ancestor,Cm,26.485
C6,B30,no_plasmid,0,0,3,no_plasmid_ancestor,Kan,36.674
C6,B30,no_plasmid,0,0,3,no_plasmid_ancestor,Tet,27.399
C7,B30,p15A_plasmid,0,0,3,A31_plasmid_ancestor,Cm,24.900
C7,B30,p15A_plasmid,0,0,3,A31_plasmid_ancestor,Kan,22.877
C7,B30,p15A_plasmid,0,0,3,A31_plasmid_ancestor,Tet,25.822
C8,B30,pUC_plasmid,0,0,3,A18_plasmid_ancestor,Cm,24.984
C8,B30,pUC_plasmid,0,0,3,A18_plasmid_ancestor,Kan,18.836
C8,B30,pUC_plasmid,0,0,3,A18_plasmid_ancestor,Tet,25.914
C10,B30,no_plasmid,1,0,3,no_plasmid,Cm,25.212
C10,B30,no_plasmid,1,0,3,no_plasmid,Kan,37.003
C10,B30,no_plasmid,1,0,3,no_plasmid,Tet,26.283
C11,B30,p15A_plasmid,1,0,3,A31_plasmid,Cm,26.348
C11,B30,p15A_plasmid,1,0,3,A31_plasmid,Kan,22.856
C11,B30,p15A_plasmid,1,0,3,A31_plasmid,Tet,27.461
C12,B30,pUC_plasmid,1,0,3,A18_plasmid,Cm,24.336
C12,B30,pUC_plasmid,1,0,3,A18_plasmid,Kan,17.920
C12,B30,pUC_plasmid,1,0,3,A18_plasmid,Tet,25.349
D1,B30,no_plasmid,1,5,4,no_plasmid,Cm,27.648
D1,B30,no_plasmid,1,5,4,no_plasmid,Kan,36.143
D1,B30,no_plasmid,1,5,4,no_plasmid,Tet,27.535
D2,B30,p15A_plasmid,1,5,4,A31_plasmid,Cm,24.568
D2,B30,p15A_plasmid,1,5,4,A31_plasmid,Kan,20.797
D2,B30,p15A_plasmid,1,5,4,A31_plasmid,Tet,25.015
D3,B30,pUC_plasmid,1,5,4,A18_plasmid,Cm,25.239
D3,B30,pUC_plasmid,1,5,4,A18_plasmid,Kan,18.429
D3,B30,pUC_plasmid,1,5,4,A18_plasmid,Tet,21.378
D10,B30,no_plasmid,1,0,4,no_plasmid,Cm,25.690
D10,B30,no_plasmid,1,0,4,no_plasmid,Kan,35.613
D10,B30,no_plasmid,1,0,4,no_plasmid,Tet,26.709
D11,B30,p15A_plasmid,1,0,4,A31_plasmid,Cm,26.280
D11,B30,p15A_plasmid,1,0,4,A31_plasmid,Kan,23.217
D11,B30,p15A_plasmid,1,0,4,A31_plasmid,Tet,27.365
D12,B30,pUC_plasmid,1,0,4,A18_plasmid,Cm,24.981
D12,B30,pUC_plasmid,1,0,4,A18_plasmid,Kan,18.874
D12,B30,pUC_plasmid,1,0,4,A18_plasmid,Tet,25.937
E1,B30,no_plasmid,1,5,5,no_plasmid,Cm,27.122
E1,B30,no_plasmid,1,5,5,no_plasmid,Kan,39.466
E1,B30,no_plasmid,1,5,5,no_plasmid,Tet,27.229
E2,B30,p15A_plasmid,1,5,5,A31_plasmid,Cm,25.569
E2,B30,p15A_plasmid,1,5,5,A31_plasmid,Kan,21.313
E2,B30,p15A_plasmid,1,5,5,A31_plasmid,Tet,25.948
E3,B30,pUC_plasmid,1,5,5,A18_plasmid,Cm,25.356
E3,B30,pUC_plasmid,1,5,5,A18_plasmid,Kan,18.382
E3,B30,pUC_plasmid,1,5,5,A18_plasmid,Tet,21.430
E10,B30,no_plasmid,1,0,5,no_plasmid,Cm,25.781
E10,B30,no_plasmid,1,0,5,no_plasmid,Kan,36.525
E10,B30,no_plasmid,1,0,5,no_plasmid,Tet,26.852
E11,B30,p15A_plasmid,1,0,5,A31_plasmid,Cm,25.974
E11,B30,p15A_plasmid,1,0,5,A31_plasmid,Kan,22.442
E11,B30,p15A_plasmid,1,0,5,A31_plasmid,Tet,27.038
E12,B30,pUC_plasmid,1,0,5,A18_plasmid,Cm,24.168
E12,B30,pUC_plasmid,1,0,5,A18_plasmid,Kan,17.474
E12,B30,pUC_plasmid,1,0,5,A18_plasmid,Tet,25.177
F1,B30,no_plasmid,1,5,6,no_plasmid,Cm,24.836
F1,B30,no_plasmid,1,5,6,no_plasmid,Kan,37.189
F1,B30,no_plasmid,1,5,6,no_plasmid,Tet,25.471
F2,B30,p15A_plasmid,1,5,6,A31_plasmid,Cm,25.195
F2,B30,p15A_plasmid,1,5,6,A31_plasmid,Kan,21.154
F2,B30,p15A_plasmid,1,5,6,A31_plasmid,Tet,25.527
F3,B30,pUC_plasmid,1,5,6,A18_plasmid,Cm,24.896
F3,B30,pUC_plasmid,1,5,6,A18_plasmid,Kan,17.652
F3,B30,pUC_plasmid,1,5,6,A18_plasmid,Tet,20.597
F10,B30,no_plasmid,1,0,6,no_plasmid,Cm,24.871
F10,B30,no_plasmid,1,0,6,no_plasmid,Kan,37.340
F10,B30,no_plasmid,1,0,6,no_plasmid,Tet,25.877
F11,B30,p15A_plasmid,1,0,6,A31_plasmid,Cm,24.960
F11,B30,p15A_plasmid,1,0,6,A31_plasmid,Kan,22.039
F11,B30,p15A_plasmid,1,0,6,A31_plasmid,Tet,26.050
F12,B30,pUC_plasmid,1,0,6,A18_plasmid,Cm,23.984
F12,B30,pUC_plasmid,1,0,6,A18_plasmid,Kan,17.498
F12,B30,pUC_plasmid,1,0,6,A18_plasmid,Tet,24.939
G1,B30,no_plasmid,1,5,7,no_plasmid,Cm,26.965
G1,B30,no_plasmid,1,5,7,no_plasmid,Kan,35.309
G1,B30,no_plasmid,1,5,7,no_plasmid,Tet,27.169
G2,B30,p15A_plasmid,1,5,7,A31_plasmid,Cm,25.134
G2,B30,p15A_plasmid,1,5,7,A31_plasmid,Kan,21.995
G2,B30,p15A_plasmid,1,5,7,A31_plasmid,Tet,24.564
G3,B30,pUC_plasmid,1,5,7,A18_plasmid,Cm,25.182
G3,B30,pUC_plasmid,1,5,7,A18_plasmid,Kan,17.243
G3,B30,pUC_plasmid,1,5,7,A18_plasmid,Tet,20.577
G10,B30,no_plasmid,1,0,7,no_plasmid,Cm,25.108
G10,B30,no_plasmid,1,0,7,no_plasmid,Kan,38.593
G10,B30,no_plasmid,1,0,7,no_plasmid,Tet,26.136
G11,B30,p15A_plasmid,1,0,7,A31_plasmid,Cm,25.063
G11,B30,p15A_plasmid,1,0,7,A31_plasmid,Kan,22.117
G11,B30,p15A_plasmid,1,0,7,A31_plasmid,Tet,26.127
G12,B30,pUC_plasmid,1,0,7,A18_plasmid,Cm,24.893
G12,B30,pUC_plasmid,1,0,7,A18_plasmid,Kan,18.358
G12,B30,pUC_plasmid,1,0,7,A18_plasmid,Tet,25.874
H1,B30,no_plasmid,1,5,8,no_plasmid,Cm,27.520
H1,B30,no_plasmid,1,5,8,no_plasmid,Kan,36.359
H1,B30,no_plasmid,1,5,8,no_plasmid,Tet,27.649
H2,B30,p15A_plasmid,1,5,8,A31_plasmid,Cm,25.755
H2,B30,p15A_plasmid,1,5,8,A31_plasmid,Kan,22.618
H2,B30,p15A_plasmid,1,5,8,A31_plasmid,Tet,25.276
H3,B30,pUC_plasmid,1,5,8,A18_plasmid,Cm,24.957
H3,B30,pUC_plasmid,1,5,8,A18_plasmid,Kan,17.843
H3,B30,pUC_plasmid,1,5,8,A18_plasmid,Tet,20.667
H10,B30,no_plasmid,1,0,8,no_plasmid,Cm,24.989
H10,B30,no_plasmid,1,0,8,no_plasmid,Kan,38.383
H10,B30,no_plasmid,1,0,8,no_plasmid,Tet,25.988
H11,B30,p15A_plasmid,1,0,8,A31_plasmid,Cm,25.354
H11,B30,p15A_plasmid,1,0,8,A31_plasmid,Kan,22.096
H11,B30,p15A_plasmid,1,0,8,A31_plasmid,Tet,26.398
H12,B30,pUC_plasmid,1,0,8,A18_plasmid,Cm,24.498
H12,B30,pUC_plasmid,1,0,8,A18_plasmid,Kan,17.631
H12,B30,pUC_plasmid,1,0,8,A18_plasmid,Tet,25.354
