Well,Transposon,Plasmid,Day,TetConc,Replicate,Sample Name,probe,cycle_at_threshold
A1,B30,no_plasmid,1,5,1,no_plasmid,Cm,28.781
A1,B30,no_plasmid,1,5,1,no_plasmid,Kan,35.470
A1,B30,no_plasmid,1,5,1,no_plasmid,Tet,28.957
A2,B30,p15A_plasmid,1,5,1,A31_plasmid,Cm,26.943
A2,B30,p15A_plasmid,1,5,1,A31_plasmid,Kan,23.357
A2,B30,p15A_plasmid,1,5,1,A31_plasmid,Tet,27.149
A3,B30,pUC_plasmid,1,5,1,A18_plasmid,Cm,25.958
A3,B30,pUC_plasmid,1,5,1,A18_plasmid,Kan,18.844
A3,B30,pUC_plasmid,1,5,1,A18_plasmid,Tet,21.439
A6,B30,no_plasmid,0,0,1,no_plasmid_ancestor,Cm,25.174
A6,B30,no_plasmid,0,0,1,no_plasmid_ancestor,Kan,35.620
A6,B30,no_plasmid,0,0,1,no_plasmid_ancestor,Tet,25.942
A7,B30,p15A_plasmid,0,0,1,A31_plasmid_ancestor,Cm,23.535
A7,B30,p15A_plasmid,0,0,1,A31_plasmid_ancestor,Kan,21.821
A7,B30,p15A_plasmid,0,0,1,A31_plasmid_ancestor,Tet,24.387
A8,B30,pUC_plasmid,0,0,1,A18_plasmid_ancestor,Cm,24.387
A8,B30,pUC_plasmid,0,0,1,A18_plasmid_ancestor,Kan,18.512
A8,B30,pUC_plasmid,0,0,1,A18_plasmid_ancestor,Tet,25.172
A10,B30,no_plasmid,1,0,1,no_plasmid,Cm,25.843
A10,B30,no_plasmid,1,0,1,no_plasmid,Kan,36.556
A10,B30,no_plasmid,1,0,1,no_plasmid,Tet,26.760
A11,B30,p15A_plasmid,1,0,1,A31_plasmid,Cm,28.042
A11,B30,p15A_plasmid,1,0,1,A31_plasmid,Kan,24.349
A11,B30,p15A_plasmid,1,0,1,A31_plasmid,Tet,29.043
A12,B30,pUC_plasmid,1,0,1,A18_plasmid,Cm,24.576
A12,B30,pUC_plasmid,1,0,1,A18_plasmid,Kan,18.380
A12,B30,pUC_plasmid,1,0,1,A18_plasmid,Tet,25.439
B1,B30,no_plasmid,1,5,2,no_plasmid,Cm,28.195
B1,B30,no_plasmid,1,5,2,no_plasmid,Kan,36.307
B1,B30,no_plasmid,1,5,2,no_plasmid,Tet,28.303
B2,B30,p15A_plasmid,1,5,2,A31_plasmid,Cm,25.041
B2,B30,p15A_plasmid,1,5,2,A31_plasmid,Kan,21.382
B2,B30,p15A_plasmid,1,5,2,A31_plasmid,Tet,25.157
B3,B30,pUC_plasmid,1,5,2,A18_plasmid,Cm,24.218
B3,B30,pUC_plasmid,1,5,2,A18_plasmid,Kan,17.119
B3,B30,pUC_plasmid,1,5,2,A18_plasmid,Tet,21.346
B6,B30,no_plasmid,1,0,2,no_plasmid_ancestor,Cm,24.731
B6,B30,no_plasmid,1,0,2,no_plasmid_ancestor,Kan,35.001
B6,B30,no_plasmid,1,0,2,no_plasmid_ancestor,Tet,25.618
B7,B30,p15A_plasmid,1,0,2,A31_plasmid_ancestor,Cm,23.808
B7,B30,p15A_plasmid,1,0,2,A31_plasmid_ancestor,Kan,22.040
B7,B30,p15A_plasmid,1,0,2,A31_plasmid_ancestor,Tet,24.681
B8,B30,pUC_plasmid,1,0,2,A18_plasmid_ancestor,Cm,23.744
B8,B30,pUC_plasmid,1,0,2,A18_plasmid_ancestor,Kan,17.570
B8,B30,pUC_plasmid,1,0,2,A18_plasmid_ancestor,Tet,24.624
B10,B30,no_plasmid,1,0,2,no_plasmid,Cm,26.979
B10,B30,no_plasmid,1,0,2,no_plasmid,Kan,36.020
B10,B30,no_plasmid,1,0,2,no_plasmid,Tet,28.004
B11,B30,p15A_plasmid,1,0,2,A31_plasmid,Cm,26.397
B11,B30,p15A_plasmid,1,0,2,A31_plasmid,Kan,22.534
B11,B30,p15A_plasmid,1,0,2,A31_plasmid,Tet,27.397
B12,B30,pUC_plasmid,1,0,2,A18_plasmid,Cm,24.393
B12,B30,pUC_plasmid,1,0,2,A18_plasmid,Kan,17.880
B12,B30,pUC_plasmid,1,0,2,A18_plasmid,Tet,25.325
C1,B30,no_plasmid,1,5,3,no_plasmid,Cm,28.821
C1,B30,no_plasmid,1,5,3,no_plasmid,Kan,38.466
C1,B30,no_plasmid,1,5,3,no_plasmid,Tet,28.830
C2,B30,p15A_plasmid,1,5,3,A31_plasmid,Cm,25.316
C2,B30,p15A_plasmid,1,5,3,A31_plasmid,Kan,21.219
C2,B30,p15A_plasmid,1,5,3,A31_plasmid,Tet,25.559
