Well,Transposon,Plasmid,Day,TetConc,Replicate,Sample Name,probe,cycle_at_threshold
B12,B59,pUC_plasmid,1,0,2,A18_plasmid,Cm,16.339
B12,B59,pUC_plasmid,1,0,2,A18_plasmid,Kan,13.558
B12,B59,pUC_plasmid,1,0,2,A18_plasmid,Tet,16.725
C1,B59,no_plasmid,1,5,3,no_plasmid,Cm,21.305
C1,B59,no_plasmid,1,5,3,no_plasmid,Kan,38.637
C1,B59,no_plasmid,1,5,3,no_plasmid,Tet,22.029
C2,B59,p15A_plasmid,1,5,3,A31_plasmid,Cm,30.553
C2,B59,p15A_plasmid,1,5,3,A31_plasmid,Kan,29.580
C2,B59,p15A_plasmid,1,5,3,A31_plasmid,Tet,31.067
C3,B59,pUC_plasmid,1,5,3,A18_plasmid,Cm,30.410
C3,B59,pUC_plasmid,1,5,3,A18_plasmid,Kan,25.945
C3,B59,pUC_plasmid,1,5,3,A18_plasmid,Tet,30.856
C6,B59,no_plasmid,0,0,3,no_plasmid_ancestor,Cm,25.168
C6,B59,no_plasmid,0,0,3,no_plasmid_ancestor,Kan,37.756
C6,B59,no_plasmid,0,0,3,no_plasmid_ancestor,Tet,25.484
C7,B59,p15A_plasmid,0,0,3,A31_plasmid_ancestor,Cm,25.333
C7,B59,p15A_plasmid,0,0,3,A31_plasmid_ancestor,Kan,23.990
C7,B59,p15A_plasmid,0,0,3,A31_plasmid_ancestor,Tet,25.815
C8,B59,pUC_plasmid,0,0,3,A18_plasmid_ancestor,Cm,24.576
C8,B59,pUC_plasmid,0,0,3,A18_plasmid_ancestor,Kan,19.637
C8,B59,pUC_plasmid,0,0,3,A18_plasmid_ancestor,Tet,24.939
C10,B59,no_plasmid,1,0,3,no_plasmid,Cm,22.277
C10,B59,no_plasmid,1,0,3,no_plasmid,Kan,NA
C10,B59,no_plasmid,1,0,3,no_plasmid,Tet,22.757
C11,B59,p15A_plasmid,1,0,3,A31_plasmid,Cm,21.788
C11,B59,p15A_plasmid,1,0,3,A31_plasmid,Kan,20.527
C11,B59,p15A_plasmid,1,0,3,A31_plasmid,Tet,22.127
C12,B59,pUC_plasmid,1,0,3,A18_plasmid,Cm,17.061
C12,B59,pUC_plasmid,1,0,3,A18_plasmid,Kan,13.858
C12,B59,pUC_plasmid,1,0,3,A18_plasmid,Tet,17.316
D1,B59,no_plasmid,1,5,4,no_plasmid,Cm,21.245
D1,B59,no_plasmid,1,5,4,no_plasmid,Kan,NA
D1,B59,no_plasmid,1,5,4,no_plasmid,Tet,22.954
D2,B59,p15A_plasmid,1,5,4,A31_plasmid,Cm,28.335
D2,B59,p15A_plasmid,1,5,4,A31_plasmid,Kan,26.898
D2,B59,p15A_plasmid,1,5,4,A31_plasmid,Tet,28.830
D3,B59,pUC_plasmid,1,5,4,A18_plasmid,Cm,30.723
D3,B59,pUC_plasmid,1,5,4,A18_plasmid,Kan,26.439
D3,B59,pUC_plasmid,1,5,4,A18_plasmid,Tet,31.144
D10,B59,no_plasmid,1,0,4,no_plasmid,Cm,23.579
D10,B59,no_plasmid,1,0,4,no_plasmid,Kan,NA
D10,B59,no_plasmid,1,0,4,no_plasmid,Tet,24.005
D11,B59,p15A_plasmid,1,0,4,A31_plasmid,Cm,22.297
D11,B59,p15A_plasmid,1,0,4,A31_plasmid,Kan,20.436
D11,B59,p15A_plasmid,1,0,4,A31_plasmid,Tet,22.666
D12,B59,pUC_plasmid,1,0,4,A18_plasmid,Cm,16.460
D12,B59,pUC_plasmid,1,0,4,A18_plasmid,Kan,13.425
D12,B59,pUC_plasmid,1,0,4,A18_plasmid,Tet,16.771
E1,B59,no_plasmid,1,5,5,no_plasmid,Cm,19.382
E1,B59,no_plasmid,1,5,5,no_plasmid,Kan,NA
E1,B59,no_plasmid,1,5,5,no_plasmid,Tet,19.971
E2,B59,p15A_plasmid,1,5,5,A31_plasmid,Cm,20.184
E2,B59,p15A_plasmid,1,5,5,A31_plasmid,Kan,19.068
E2,B59,p15A_plasmid,1,5,5,A31_plasmid,Tet,20.960
E3,B59,pUC_plasmid,1,5,5,A18_plasmid,Cm,31.852
E3,B59,pUC_plasmid,1,5,5,A18_plasmid,Kan,26.998
E3,B59,pUC_plasmid,1,5,5,A18_plasmid,Tet,32.190
E10,B59,no_plasmid,1,0,5,no_plasmid,Cm,22.963
E10,B59,no_plasmid,1,0,5,no_plasmid,Kan,NA
E10,B59,no_plasmid,1,0,5,no_plasmid,Tet,23.361
E11,B59,p15A_plasmid,1,0,5,A31_plasmid,Cm,24.029
E11,B59,p15A_plasmid,1,0,5,A31_plasmid,Kan,22.258
E11,B59,p15A_plasmid,1,0,5,A31_plasmid,Tet,24.422
E12,B59,pUC_plasmid,1,0,5,A18_plasmid,Cm,15.553
E12,B59,pUC_plasmid,1,0,5,A18_plasmid,Kan,12.734
E12,B59,pUC_plasmid,1,0,5,A18_plasmid,Tet,15.742
F1,B59,no_plasmid,1,5,6,no_plasmid,Cm,18.153
F1,B59,no_plasmid,1,5,6,no_plasmid,Kan,NA
F1,B59,no_plasmid,1,5,6,no_plasmid,Tet,19.057
F2,B59,p15A_plasmid,1,5,6,A31_plasmid,Cm,18.594
F2,B59,p15A_plasmid,1,5,6,A31_plasmid,Kan,16.144
F2,B59,p15A_plasmid,1,5,6,A31_plasmid,Tet,20.089
F3,B59,pUC_plasmid,1,5,6,A18_plasmid,Cm,25.285
F3,B59,pUC_plasmid,1,5,6,A18_plasmid,Kan,19.579
F3,B59,pUC_plasmid,1,5,6,A18_plasmid,Tet,25.684
F10,B59,no_plasmid,1,0,6,no_plasmid,Cm,22.446
F10,B59,no_plasmid,1,0,6,no_plasmid,Kan,39.007
F10,B59,no_plasmid,1,0,6,no_plasmid,Tet,22.787
F11,B59,p15A_plasmid,1,0,6,A31_plasmid,Cm,23.177
F11,B59,p15A_plasmid,1,0,6,A31_plasmid,Kan,21.477
F11,B59,p15A_plasmid,1,0,6,A31_plasmid,Tet,23.525
F12,B59,pUC_plasmid,1,0,6,A18_plasmid,Cm,18.516
F12,B59,pUC_plasmid,1,0,6,A18_plasmid,Kan,14.742
F12,B59,pUC_plasmid,1,0,6,A18_plasmid,Tet,18.896
G1,B59,no_plasmid,1,5,7,no_plasmid,Cm,20.387
G1,B59,no_plasmid,1,5,7,no_plasmid,Kan,39.319
G1,B59,no_plasmid,1,5,7,no_plasmid,Tet,20.920
G2,B59,p15A_plasmid,1,5,7,A31_plasmid,Cm,22.119
G2,B59,p15A_plasmid,1,5,7,A31_plasmid,Kan,19.504
G2,B59,p15A_plasmid,1,5,7,A31_plasmid,Tet,22.832
G3,B59,pUC_plasmid,1,5,7,A18_plasmid,Cm,23.878
G3,B59,pUC_plasmid,1,5,7,A18_plasmid,Kan,18.564
G3,B59,pUC_plasmid,1,5,7,A18_plasmid,Tet,24.196
G10,B59,no_plasmid,1,0,7,no_plasmid,Cm,19.341
G10,B59,no_plasmid,1,0,7,no_plasmid,Kan,NA
G10,B59,no_plasmid,1,0,7,no_plasmid,Tet,19.825
G11,B59,p15A_plasmid,1,0,7,A31_plasmid,Cm,23.291
G11,B59,p15A_plasmid,1,0,7,A31_plasmid,Kan,21.593
G11,B59,p15A_plasmid,1,0,7,A31_plasmid,Tet,23.662
G12,B59,pUC_plasmid,1,0,7,A18_plasmid,Cm,15.405
G12,B59,pUC_plasmid,1,0,7,A18_plasmid,Kan,12.631
G12,B59,pUC_plasmid,1,0,7,A18_plasmid,Tet,15.564
H1,B59,no_plasmid,1,5,8,no_plasmid,Cm,20.557
H1,B59,no_plasmid,1,5,8,no_plasmid,Kan,NA
H1,B59,no_plasmid,1,5,8,no_plasmid,Tet,20.964
H2,B59,p15A_plasmid,1,5,8,A31_plasmid,Cm,18.078
H2,B59,p15A_plasmid,1,5,8,A31_plasmid,Kan,16.500
H2,B59,p15A_plasmid,1,5,8,A31_plasmid,Tet,19.232
H3,B59,pUC_plasmid,1,5,8,A18_plasmid,Cm,22.733
H3,B59,pUC_plasmid,1,5,8,A18_plasmid,Kan,18.376
H3,B59,pUC_plasmid,1,5,8,A18_plasmid,Tet,23.002
H10,B59,no_plasmid,1,0,8,no_plasmid,Cm,19.033
H10,B59,no_plasmid,1,0,8,no_plasmid,Kan,NA
H10,B59,no_plasmid,1,0,8,no_plasmid,Tet,19.539
H11,B59,p15A_plasmid,1,0,8,A31_plasmid,Cm,22.559
H11,B59,p15A_plasmid,1,0,8,A31_plasmid,Kan,20.978
H11,B59,p15A_plasmid,1,0,8,A31_plasmid,Tet,22.932
H12,B59,pUC_plasmid,1,0,8,A18_plasmid,Cm,16.920
H12,B59,pUC_plasmid,1,0,8,A18_plasmid,Kan,13.683
H12,B59,pUC_plasmid,1,0,8,A18_plasmid,Tet,16.969
