Well,Transposon,Plasmid,Day,TetConc,Replicate,Sample Name,probe,cycle_at_threshold
A1,B59,no_plasmid,1,5,1,no_plasmid,Cm,20.725
A1,B59,no_plasmid,1,5,1,no_plasmid,Kan,NA
A1,B59,no_plasmid,1,5,1,no_plasmid,Tet,21.123
A2,B59,p15A_plasmid,1,5,1,A31_plasmid,Cm,30.714
A2,B59,p15A_plasmid,1,5,1,A31_plasmid,Kan,29.887
A2,B59,p15A_plasmid,1,5,1,A31_plasmid,Tet,31.157
A3,B59,pUC_plasmid,1,5,1,A18_plasmid,Cm,31.121
A3,B59,pUC_plasmid,1,5,1,A18_plasmid,Kan,26.093
A3,B59,pUC_plasmid,1,5,1,A18_plasmid,Tet,31.453
A6,B59,no_plasmid,0,0,1,no_plasmid_ancestor,Cm,23.939
A6,B59,no_plasmid,0,0,1,no_plasmid_ancestor,Kan,NA
A6,B59,no_plasmid,0,0,1,no_plasmid_ancestor,Tet,24.093
A7,B59,p15A_plasmid,0,0,1,A31_plasmid_ancestor,Cm,23.421
A7,B59,p15A_plasmid,0,0,1,A31_plasmid_ancestor,Kan,22.707
A7,B59,p15A_plasmid,0,0,1,A31_plasmid_ancestor,Tet,23.715
A8,B59,pUC_plasmid,0,0,1,A18_plasmid_ancestor,Cm,23.098
A8,B59,pUC_plasmid,0,0,1,A18_plasmid_ancestor,Kan,18.312
A8,B59,pUC_plasmid,0,0,1,A18_plasmid_ancestor,Tet,23.387
A10,B59,no_plasmid,1,0,1,no_plasmid,Cm,23.166
A10,B59,no_plasmid,1,0,1,no_plasmid,Kan,NA
A10,B59,no_plasmid,1,0,1,no_plasmid,Tet,23.509
A11,B59,p15A_plasmid,1,0,1,A31_plasmid,Cm,23.531
A11,B59,p15A_plasmid,1,0,1,A31_plasmid,Kan,21.588
A11,B59,p15A_plasmid,1,0,1,A31_plasmid,Tet,23.944
A12,B59,pUC_plasmid,1,0,1,A18_plasmid,Cm,17.395
A12,B59,pUC_plasmid,1,0,1,A18_plasmid,Kan,14.140
A12,B59,pUC_plasmid,1,0,1,A18_plasmid,Tet,17.617
B1,B59,no_plasmid,1,5,2,no_plasmid,Cm,23.103
B1,B59,no_plasmid,1,5,2,no_plasmid,Kan,NA
B1,B59,no_plasmid,1,5,2,no_plasmid,Tet,23.623
B2,B59,p15A_plasmid,1,5,2,A31_plasmid,Cm,30.893
B2,B59,p15A_plasmid,1,5,2,A31_plasmid,Kan,30.052
B2,B59,p15A_plasmid,1,5,2,A31_plasmid,Tet,31.428
B3,B59,pUC_plasmid,1,5,2,A18_plasmid,Cm,31.253
B3,B59,pUC_plasmid,1,5,2,A18_plasmid,Kan,26.765
B3,B59,pUC_plasmid,1,5,2,A18_plasmid,Tet,31.690
B6,B59,no_plasmid,1,0,2,no_plasmid_ancestor,Cm,25.098
B6,B59,no_plasmid,1,0,2,no_plasmid_ancestor,Kan,39.008
B6,B59,no_plasmid,1,0,2,no_plasmid_ancestor,Tet,25.482
B7,B59,p15A_plasmid,1,0,2,A31_plasmid_ancestor,Cm,25.094
B7,B59,p15A_plasmid,1,0,2,A31_plasmid_ancestor,Kan,24.178
B7,B59,p15A_plasmid,1,0,2,A31_plasmid_ancestor,Tet,25.778
B8,B59,pUC_plasmid,1,0,2,A18_plasmid_ancestor,Cm,24.364
B8,B59,pUC_plasmid,1,0,2,A18_plasmid_ancestor,Kan,19.511
B8,B59,pUC_plasmid,1,0,2,A18_plasmid_ancestor,Tet,24.778
B10,B59,no_plasmid,1,0,2,no_plasmid,Cm,23.559
B10,B59,no_plasmid,1,0,2,no_plasmid,Kan,39.033
B10,B59,no_plasmid,1,0,2,no_plasmid,Tet,23.942
B11,B59,p15A_plasmid,1,0,2,A31_plasmid,Cm,24.789
B11,B59,p15A_plasmid,1,0,2,A31_plasmid,Kan,22.752
B11,B59,p15A_plasmid,1,0,2,A31_plasmid,Tet,25.208
